reaction_id,reaction_group_id,record_class,is_control,control_type,plate,block,row,col,source_file,source_well,Sample Name,Data File,aryl_halide_number,aryl_halide,aryl_halide_smiles,catalyst_system,ligand,ligand_smiles,base,base_smiles,additive_number,additive,additive_smiles,yield_percent,yield_observed,zero_yield,product,internal_standard,corr_factor
AHNEMAN_BH_P1_R01_C01,AHNEMAN_BH_ARYL_01,control,True,additive_free_control,1,1.0,1,1,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,1:A,2016-Dec14-1536-CN-Plate1-1-2.Raw,2016-dec14-1536-cn-plate1-1-2.raw,1.0,1-chloro-4-(trifluoromethyl)benzene,FC(F)(F)c1ccc(Cl)cc1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,,,,26.8886154,True,False,49912.71291,14511.76925,1.042356705
AHNEMAN_BH_P1_R01_C02,AHNEMAN_BH_ARYL_02,control,True,additive_free_control,1,1.0,1,2,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,2:A,2016-Dec14-1536-CN-Plate1-17.Raw,2016-dec14-1536-cn-plate1-17.raw,2.0,1-bromo-4-(trifluoromethyl)benzene,FC(F)(F)c1ccc(Br)cc1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,,,,24.0632241,True,False,46876.34031,15229.21474,1.042356705
AHNEMAN_BH_P1_R01_C03,AHNEMAN_BH_ARYL_03,control,True,additive_free_control,1,1.0,1,3,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,3:A,2016-Dec14-1536-CN-Plate1-33.Raw,2016-dec14-1536-cn-plate1-33.raw,3.0,1-iodo-4-(trifluoromethyl)benzene,FC(F)(F)c1ccc(I)cc1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,,,,47.51582059,True,False,111688.0039,18375.78594,1.042356705
AHNEMAN_BH_P1_R01_C04,AHNEMAN_BH_ARYL_04,control,True,additive_free_control,1,1.0,1,4,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,4:A,2016-Dec14-1536-CN-Plate1-49.Raw,2016-dec14-1536-cn-plate1-49.raw,4.0,1-chloro-4-methoxybenzene,COc1ccc(Cl)cc1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,,,,2.126831127,True,False,5426.8111,18154.89427,0.948682226
AHNEMAN_BH_P1_R01_C05,AHNEMAN_BH_ARYL_05,control,True,additive_free_control,1,1.0,1,5,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,5:A,2016-Dec14-1536-CN-Plate1-65.Raw,2016-dec14-1536-cn-plate1-65.raw,5.0,1-bromo-4-methoxybenzene,COc1ccc(Br)cc1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,,,,47.58635419,True,False,132197.0401,19766.11537,0.948682226
AHNEMAN_BH_P1_R01_C06,AHNEMAN_BH_ARYL_06,control,True,additive_free_control,1,1.0,1,6,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,6:A,2016-Dec14-1536-CN-Plate1-81.Raw,2016-dec14-1536-cn-plate1-81.raw,6.0,1-iodo-4-methoxybenzene,COc1ccc(I)cc1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,,,,50.06002592,True,False,127927.6759,18182.57833,0.948682226
AHNEMAN_BH_P1_R01_C07,AHNEMAN_BH_ARYL_07,control,True,additive_free_control,1,1.0,1,7,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,7:A,2016-Dec14-1536-CN-Plate1-97.Raw,2016-dec14-1536-cn-plate1-97.raw,7.0,1-chloro-4-ethylbenzene,CCc1ccc(Cl)cc1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,,,,26.62339329,True,False,48873.42113,18415.28353,1.337543187
AHNEMAN_BH_P1_R01_C08,AHNEMAN_BH_ARYL_08,control,True,additive_free_control,1,1.0,1,8,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,8:A,2016-Dec14-1536-CN-Plate1-113.Raw,2016-dec14-1536-cn-plate1-113.raw,8.0,1-bromo-4-ethylbenzene,CCc1ccc(Br)cc1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,,,,71.96255996,True,False,138537.3329,19312.09081,1.337543187
AHNEMAN_BH_P1_R01_C09,AHNEMAN_BH_ARYL_09,control,True,additive_free_control,1,1.0,1,9,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,9:A,2016-Dec14-1536-CN-Plate1-129.Raw,2016-dec14-1536-cn-plate1-129.raw,9.0,1-ethyl-4-iodobenzene,CCc1ccc(I)cc1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,,,,73.69723373,True,False,145615.5873,19821.0089,1.337543187
AHNEMAN_BH_P1_R01_C10,AHNEMAN_BH_ARYL_10,control,True,additive_free_control,1,1.0,1,10,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,10:A,2016-Dec14-1536-CN-Plate1-145.Raw,2016-dec14-1536-cn-plate1-145.raw,10.0,2-chloropyridine,Clc1ccccn1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,,,,17.98570951,True,False,18975.23537,22501.34794,2.843725517
AHNEMAN_BH_P1_R01_C11,AHNEMAN_BH_ARYL_11,control,True,additive_free_control,1,1.0,1,11,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,11:A,2016-Dec14-1536-CN-Plate1-161.Raw,2016-dec14-1536-cn-plate1-161.raw,11.0,2-bromopyridine,Brc1ccccn1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,,,,21.4883356,True,False,22532.72914,22364.53931,2.843725517
AHNEMAN_BH_P1_R01_C12,AHNEMAN_BH_ARYL_12,control,True,additive_free_control,1,1.0,1,12,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,12:A,2016-Dec14-1536-CN-Plate1-177.Raw,2016-dec14-1536-cn-plate1-177.raw,12.0,2-iodopyridine,Ic1ccccn1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,,,,21.32776371,True,False,21981.46375,21981.64686,2.843725517
AHNEMAN_BH_P1_R01_C13,AHNEMAN_BH_ARYL_13,control,True,additive_free_control,1,1.0,1,13,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,13:A,2016-Dec14-1536-CN-Plate1-193.Raw,2016-dec14-1536-cn-plate1-193.raw,13.0,3-chloropyridine,Clc1cccnc1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,,,,49.05978648,True,False,62039.52899,20619.59352,2.174082389
