reaction_id,reaction_group_id,record_class,is_control,control_type,plate,block,row,col,source_file,source_well,Sample Name,Data File,aryl_halide_number,aryl_halide,aryl_halide_smiles,catalyst_system,ligand,ligand_smiles,base,base_smiles,additive_number,additive,additive_smiles,yield_percent,yield_observed,zero_yield,product,internal_standard,corr_factor
AHNEMAN_BH_P1_R02_C01,AHNEMAN_BH_ARYL_01,main_matrix,False,,1,1.0,2,1,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,1:B,2016-Dec14-1536-CN-Plate1-2.Raw,2016-dec14-1536-cn-plate1-2.raw,1.0,1-chloro-4-(trifluoromethyl)benzene,FC(F)(F)c1ccc(Cl)cc1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,2.0,5-phenylisoxazole,o1nccc1c2ccccc2,10.65781182,True,False,19783.8488,14511.76925,1.042356705
AHNEMAN_BH_P1_R02_C02,AHNEMAN_BH_ARYL_02,main_matrix,False,,1,1.0,2,2,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,2:B,2016-Dec14-1536-CN-Plate1-18.Raw,2016-dec14-1536-cn-plate1-18.raw,2.0,1-bromo-4-(trifluoromethyl)benzene,FC(F)(F)c1ccc(Br)cc1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,2.0,5-phenylisoxazole,o1nccc1c2ccccc2,14.7478961,True,False,32049.97773,16989.29238,1.042356705
AHNEMAN_BH_P1_R02_C03,AHNEMAN_BH_ARYL_03,main_matrix,False,,1,1.0,2,3,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,3:B,2016-Dec14-1536-CN-Plate1-34.Raw,2016-dec14-1536-cn-plate1-34.raw,3.0,1-iodo-4-(trifluoromethyl)benzene,FC(F)(F)c1ccc(I)cc1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,2.0,5-phenylisoxazole,o1nccc1c2ccccc2,18.27868619,True,False,50028.83197,21397.00628,1.042356705
AHNEMAN_BH_P1_R02_C04,AHNEMAN_BH_ARYL_04,main_matrix,False,,1,1.0,2,4,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,4:B,2016-Dec14-1536-CN-Plate1-50.Raw,2016-dec14-1536-cn-plate1-50.raw,4.0,1-chloro-4-methoxybenzene,COc1ccc(Cl)cc1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,2.0,5-phenylisoxazole,o1nccc1c2ccccc2,2.475057616,True,False,7098.25849,20405.56032,0.948682226
AHNEMAN_BH_P1_R02_C05,AHNEMAN_BH_ARYL_05,main_matrix,False,,1,1.0,2,5,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,5:B,2016-Dec14-1536-CN-Plate1-66.Raw,2016-dec14-1536-cn-plate1-66.raw,5.0,1-bromo-4-methoxybenzene,COc1ccc(Br)cc1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,2.0,5-phenylisoxazole,o1nccc1c2ccccc2,6.119058475,True,False,16900.75185,19651.85038,0.948682226
AHNEMAN_BH_P1_R02_C06,AHNEMAN_BH_ARYL_06,main_matrix,False,,1,1.0,2,6,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,6:B,2016-Dec14-1536-CN-Plate1-82.Raw,2016-dec14-1536-cn-plate1-82.raw,6.0,1-iodo-4-methoxybenzene,COc1ccc(I)cc1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,2.0,5-phenylisoxazole,o1nccc1c2ccccc2,5.449924218,True,False,14704.9891,19198.01253,0.948682226
AHNEMAN_BH_P1_R02_C07,AHNEMAN_BH_ARYL_07,main_matrix,False,,1,1.0,2,7,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,7:B,2016-Dec14-1536-CN-Plate1-98.Raw,2016-dec14-1536-cn-plate1-98.raw,7.0,1-chloro-4-ethylbenzene,CCc1ccc(Cl)cc1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,2.0,5-phenylisoxazole,o1nccc1c2ccccc2,7.802080337,True,False,14229.67602,18295.89551,1.337543187
AHNEMAN_BH_P1_R02_C08,AHNEMAN_BH_ARYL_08,main_matrix,False,,1,1.0,2,8,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,8:B,2016-Dec14-1536-CN-Plate1-114.Raw,2016-dec14-1536-cn-plate1-114.raw,8.0,1-bromo-4-ethylbenzene,CCc1ccc(Br)cc1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,2.0,5-phenylisoxazole,o1nccc1c2ccccc2,14.23417841,True,False,26219.03758,18477.93427,1.337543187
AHNEMAN_BH_P1_R02_C09,AHNEMAN_BH_ARYL_09,main_matrix,False,,1,1.0,2,9,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,9:B,2016-Dec14-1536-CN-Plate1-130.Raw,2016-dec14-1536-cn-plate1-130.raw,9.0,1-ethyl-4-iodobenzene,CCc1ccc(I)cc1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,2.0,5-phenylisoxazole,o1nccc1c2ccccc2,15.41389344,True,False,31428.21291,20453.91332,1.337543187
AHNEMAN_BH_P1_R02_C10,AHNEMAN_BH_ARYL_10,main_matrix,False,,1,1.0,2,10,/Volumes/Jupetit/rxnpredict/yield_data/plate1.1.csv,10:B,2016-Dec14-1536-CN-Plate1-146.Raw,2016-dec14-1536-cn-plate1-146.raw,10.0,2-chloropyridine,Clc1ccccn1,XPhos,XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,P2Et,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,2.0,5-phenylisoxazole,o1nccc1c2ccccc2,9.46569581,True,False,11896.11207,26804.11308,2.843725517
