component_id,role,normalized_name,source_dataset,raw_value,normalization_status,structure_smiles,evidence
CRB_ADDITIVE_5D01C2BF4597,additive,"3,5-dimethylisoxazole",ahneman_doyle_buchwald_hartwig_2018,"3,5-dimethylisoxazole",identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_FAB2DAA8CEA0,additive,3-methyl-5-phenylisoxazole,ahneman_doyle_buchwald_hartwig_2018,3-methyl-5-phenylisoxazole,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_0E0F13E8D5D4,additive,3-methylisoxazole,ahneman_doyle_buchwald_hartwig_2018,3-methylisoxazole,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_AD0153FD07DE,additive,3-phenylisoxazole,ahneman_doyle_buchwald_hartwig_2018,3-phenylisoxazole,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_A5CEE3101CD3,additive,4-phenylisoxazole,ahneman_doyle_buchwald_hartwig_2018,4-phenylisoxazole,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_58810987F8F3,additive,"5-(2,6-difluorophenyl)isoxazole",ahneman_doyle_buchwald_hartwig_2018,"5-(2,6-difluorophenyl)isoxazole",identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_347BE157057E,additive,"5-Phenyl-1,2,4-oxadiazole",ahneman_doyle_buchwald_hartwig_2018,"5-Phenyl-1,2,4-oxadiazole",identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_08DE42E32C03,additive,5-methyl-3-(1H-pyrrol-1-yl)isoxazole,ahneman_doyle_buchwald_hartwig_2018,5-methyl-3-(1H-pyrrol-1-yl)isoxazole,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_D792DB072CBD,additive,5-methylisoxazole,ahneman_doyle_buchwald_hartwig_2018,5-methylisoxazole,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_D6F25AFA26DF,additive,5-phenylisoxazole,ahneman_doyle_buchwald_hartwig_2018,5-phenylisoxazole,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_B5755E510093,additive,"N,N-dibenzylisoxazol-3-amine",ahneman_doyle_buchwald_hartwig_2018,"N,N-dibenzylisoxazol-3-amine",identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_B346C1C90311,additive,"N,N-dibenzylisoxazol-5-amine",ahneman_doyle_buchwald_hartwig_2018,"N,N-dibenzylisoxazol-5-amine",identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_3719CFC20AB4,additive,benzo[c]isoxazole,ahneman_doyle_buchwald_hartwig_2018,benzo[c]isoxazole,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_88D26F4E7081,additive,benzo[d]isoxazole,ahneman_doyle_buchwald_hartwig_2018,benzo[d]isoxazole,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_529A42C6FD6F,additive,ethyl-3-methoxyisoxazole-5-carboxylate,ahneman_doyle_buchwald_hartwig_2018,ethyl-3-methoxyisoxazole-5-carboxylate,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_3904B5DF14B9,additive,ethyl-3-methylisoxazole-5-carboxylate,ahneman_doyle_buchwald_hartwig_2018,ethyl-3-methylisoxazole-5-carboxylate,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_097AB4FE6D86,additive,ethyl-5-methylisoxazole-3-carboxylate,ahneman_doyle_buchwald_hartwig_2018,ethyl-5-methylisoxazole-3-carboxylate,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_0E9E258172DF,additive,ethyl-5-methylisoxazole-4-carboxylate,ahneman_doyle_buchwald_hartwig_2018,ethyl-5-methylisoxazole-4-carboxylate,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_A82BD7D6126B,additive,ethyl-isoxazole-3-carboxylate,ahneman_doyle_buchwald_hartwig_2018,ethyl-isoxazole-3-carboxylate,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_B2400C649C71,additive,ethyl-isoxazole-4-carboxylate,ahneman_doyle_buchwald_hartwig_2018,ethyl-isoxazole-4-carboxylate,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_9A5329BC8CF1,additive,methyl-5-(furan-2-yl)isoxazole-3-carboxylate,ahneman_doyle_buchwald_hartwig_2018,methyl-5-(furan-2-yl)isoxazole-3-carboxylate,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_988B066F8FB3,additive,methyl-5-(thiophen-2-yl)isoxazole-3-carboxylate,ahneman_doyle_buchwald_hartwig_2018,methyl-5-(thiophen-2-yl)isoxazole-3-carboxylate,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_ADDITIVE_6F3CA8525384,additive,methyl-isoxazole-5-carboxylate,ahneman_doyle_buchwald_hartwig_2018,methyl-isoxazole-5-carboxylate,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_BASE_61A457E6229C,base,BTMG,ahneman_doyle_buchwald_hartwig_2018,BTMG,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_BASE_725FC5941344,base,CsF,perera_suzuki_miyaura_2018,CsF,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_BASE_01D22C72481B,base,Et3N,perera_suzuki_miyaura_2018,Et3N,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_BASE_87550EFEB4B4,base,K3PO4,perera_suzuki_miyaura_2018,K3PO4,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_BASE_3E6D917F589C,base,KOH,perera_suzuki_miyaura_2018,KOH,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_BASE_15802677E870,base,LiOtBu,perera_suzuki_miyaura_2018,LiOtBu,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
