component_id,registry_version,entity_scope,source_dataset,role,raw_value,normalized_name,component_value_state,structure_raw_value,normalized_smiles,canonical_smiles,inchikey,structure_status,structure_error_class,evidence_id,source_artifact_id,source_locator,review_status
CRB_V02_5D01C2BF4597A928,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,"3,5-dimethylisoxazole","3,5-dimethylisoxazole",explicit_component,Cc1onc(C)c1,Cc1cc(C)on1,Cc1cc(C)on1,FICAQKBMCKEFDI-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,"data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=3,5-dimethylisoxazole",not_required
CRB_V02_FAB2DAA8CEA02FF8,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,3-methyl-5-phenylisoxazole,3-methyl-5-phenylisoxazole,explicit_component,Cc1cc(on1)c2ccccc2,Cc1cc(-c2ccccc2)on1,Cc1cc(-c2ccccc2)on1,FBYQIYSAUFWXQK-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=3-methyl-5-phenylisoxazole,not_required
CRB_V02_0E0F13E8D5D47203,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,3-methylisoxazole,3-methylisoxazole,explicit_component,Cc1ccon1,Cc1ccon1,Cc1ccon1,CUMCMYMKECWGHO-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=3-methylisoxazole,not_required
CRB_V02_AD0153FD07DE6C0E,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,3-phenylisoxazole,3-phenylisoxazole,explicit_component,o1ccc(n1)c2ccccc2,c1ccc(-c2ccon2)cc1,c1ccc(-c2ccon2)cc1,ZBRDJMFLJXFIGJ-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=3-phenylisoxazole,not_required
CRB_V02_A5CEE3101CD3E097,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,4-phenylisoxazole,4-phenylisoxazole,explicit_component,o1cc(cn1)c2ccccc2,c1ccc(-c2cnoc2)cc1,c1ccc(-c2cnoc2)cc1,KEVAZWIBJQZOHC-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=4-phenylisoxazole,not_required
CRB_V02_58810987F8F30855,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,"5-(2,6-difluorophenyl)isoxazole","5-(2,6-difluorophenyl)isoxazole",explicit_component,Fc1cccc(F)c1c2oncc2,Fc1cccc(F)c1-c1ccno1,Fc1cccc(F)c1-c1ccno1,AEQWOJOOAJZBRU-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,"data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=5-(2,6-difluorophenyl)isoxazole",not_required
CRB_V02_347BE157057EAE78,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,"5-Phenyl-1,2,4-oxadiazole","5-Phenyl-1,2,4-oxadiazole",explicit_component,c1ccc(-c2ncno2)cc1,c1ccc(-c2ncno2)cc1,c1ccc(-c2ncno2)cc1,SNFAEUZNFIYGNA-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,"data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=5-Phenyl-1,2,4-oxadiazole",not_required
CRB_V02_08DE42E32C03DF4B,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,5-methyl-3-(1H-pyrrol-1-yl)isoxazole,5-methyl-3-(1H-pyrrol-1-yl)isoxazole,explicit_component,Cc1onc(c1)n2cccc2,Cc1cc(-n2cccc2)no1,Cc1cc(-n2cccc2)no1,LIOQRAJWZDIOEH-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=5-methyl-3-(1H-pyrrol-1-yl)isoxazole,not_required
CRB_V02_D792DB072CBDDFCC,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,5-methylisoxazole,5-methylisoxazole,explicit_component,Cc1oncc1,Cc1ccno1,Cc1ccno1,AGQOIYCTCOEHGR-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=5-methylisoxazole,not_required
CRB_V02_D6F25AFA26DF2E08,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,5-phenylisoxazole,5-phenylisoxazole,explicit_component,o1nccc1c2ccccc2,c1ccc(-c2ccno2)cc1,c1ccc(-c2ccno2)cc1,BXQDLEHCXQQSCH-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=5-phenylisoxazole,not_required
CRB_V02_B5755E510093E053,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,"N,N-dibenzylisoxazol-3-amine","N,N-dibenzylisoxazol-3-amine",explicit_component,C(N(Cc1ccccc1)c2ccon2)c3ccccc3,c1ccc(CN(Cc2ccccc2)c2ccon2)cc1,c1ccc(CN(Cc2ccccc2)c2ccon2)cc1,USZMKUYAPYSADE-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,"data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=N,N-dibenzylisoxazol-3-amine",not_required
CRB_V02_B346C1C903112B8D,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,"N,N-dibenzylisoxazol-5-amine","N,N-dibenzylisoxazol-5-amine",explicit_component,C(N(Cc1ccccc1)c2oncc2)c3ccccc3,c1ccc(CN(Cc2ccccc2)c2ccno2)cc1,c1ccc(CN(Cc2ccccc2)c2ccno2)cc1,ZNNPACGGNKHXRN-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,"data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=N,N-dibenzylisoxazol-5-amine",not_required
CRB_V02_3719CFC20AB4CD94,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,benzo[c]isoxazole,benzo[c]isoxazole,explicit_component,o1cc2ccccc2n1,c1ccc2nocc2c1,c1ccc2nocc2c1,FZKCAHQKNJXICB-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=benzo[c]isoxazole,not_required
CRB_V02_88D26F4E70813690,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,benzo[d]isoxazole,benzo[d]isoxazole,explicit_component,o1ncc2ccccc12,c1ccc2oncc2c1,c1ccc2oncc2c1,KTZQTRPPVKQPFO-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=benzo[d]isoxazole,not_required
