Reaction_No,Reactant_1_Name,Reactant_1_Short_Hand,Reactant_1_eq,Reactant_1_mmol,Reactant_2_Name,Reactant_2_eq,Catalyst_1_Short_Hand,Catalyst_1_eq,Ligand_Short_Hand,Ligand_eq,Reagent_1_Short_Hand,Reagent_1_eq,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,Product_Yield_Mass_Ion_Count,source_dataset,source_record_id,reaction_id,reaction_group_id,record_class,is_control,ligand_raw,ligand,ligand_is_blank,base_raw,base,base_is_blank,solvent_1_raw,solvent_1,solvent_normalization_note,aqueous_cosolvent,organic_to_water_volume_ratio,catalyst,catalyst_equiv,ligand_equiv_reported,base_equiv_reported,reactant_1_equiv,reactant_1_mmol,reactant_2_equiv,temperature_c,residence_time_min,pressure_bar,flow_rate_ml_min,injection_volume_per_component_ul,reaction_segment_interval_s,reaction_environment,yield_percent,yield_observed,zero_yield,yield_type,measurement_method,product_mass_ion_count,substrate_smiles,product_smiles
1,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,NaOH,2.5,MeCN,4.76410921845962,6262.058821813955,perera_suzuki_miyaura_2018,1,PERERA_SM_0001,PERERA_SM_1a_2a,main_matrix,False,P(tBu)3,P(tBu)3,False,NaOH,NaOH,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,4.76410921845962,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,6262.058821813955,not_reported,not_reported
2,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,NaOH,2.5,MeCN,4.12096203597114,13245.57090855121,perera_suzuki_miyaura_2018,2,PERERA_SM_0002,PERERA_SM_1a_2a,main_matrix,False,P(Ph)3 ,P(Ph)3 ,False,NaOH,NaOH,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,4.12096203597114,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,13245.57090855121,not_reported,not_reported
3,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,NaOH,2.5,MeCN,2.58383665286105,3009.1659457901496,perera_suzuki_miyaura_2018,3,PERERA_SM_0003,PERERA_SM_1a_2a,main_matrix,False,AmPhos,AmPhos,False,NaOH,NaOH,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,2.58383665286105,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,3009.1659457901496,not_reported,not_reported
4,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,NaOH,2.5,MeCN,4.44317065372505,30860.698262181253,perera_suzuki_miyaura_2018,4,PERERA_SM_0004,PERERA_SM_1a_2a,main_matrix,False,P(Cy)3,P(Cy)3,False,NaOH,NaOH,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,4.44317065372505,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,30860.698262181253,not_reported,not_reported
5,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,NaOH,2.5,MeCN,1.94987400815928,2486.306422970617,perera_suzuki_miyaura_2018,5,PERERA_SM_0005,PERERA_SM_1a_2a,main_matrix,False,P(o-Tol)3,P(o-Tol)3,False,NaOH,NaOH,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,1.94987400815928,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,2486.306422970617,not_reported,not_reported
6,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,NaOH,2.5,MeCN,3.25080927899943,9592.454299772224,perera_suzuki_miyaura_2018,6,PERERA_SM_0006,PERERA_SM_1a_2a,main_matrix,False,CataCXium A,CataCXium A,False,NaOH,NaOH,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,3.25080927899943,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,9592.454299772224,not_reported,not_reported
7,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,NaOH,2.5,MeCN,86.2621224841378,108343.14193028907,perera_suzuki_miyaura_2018,7,PERERA_SM_0007,PERERA_SM_1a_2a,main_matrix,False,SPhos,SPhos,False,NaOH,NaOH,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,86.2621224841378,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,108343.14193028907,not_reported,not_reported
8,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,NaOH,2.5,MeCN,7.54607987344501,9373.40334717397,perera_suzuki_miyaura_2018,8,PERERA_SM_0008,PERERA_SM_1a_2a,main_matrix,False,dtbpf,dtbpf,False,NaOH,NaOH,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,7.54607987344501,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,9373.40334717397,not_reported,not_reported
9,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,NaOH,2.5,MeCN,93.6745145376158,27239.202785752026,perera_suzuki_miyaura_2018,9,PERERA_SM_0009,PERERA_SM_1a_2a,main_matrix,False,XPhos,XPhos,False,NaOH,NaOH,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,93.6745145376158,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,27239.202785752026,not_reported,not_reported
10,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,NaOH,2.5,MeCN,14.3214354734956,7746.462857488274,perera_suzuki_miyaura_2018,10,PERERA_SM_0010,PERERA_SM_1a_2a,main_matrix,False,dppf,dppf,False,NaOH,NaOH,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,14.3214354734956,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,7746.462857488274,not_reported,not_reported
