aryl_halide,records,missing_yield,zero_yield,zero_yield_rate,median_yield
1-bromo-4-(trifluoromethyl)benzene,276,1,5,0.018115942028985508,28.35051675
1-bromo-4-ethylbenzene,276,0,6,0.021739130434782608,41.467805185
1-bromo-4-methoxybenzene,276,0,13,0.04710144927536232,21.66739331
1-chloro-4-(trifluoromethyl)benzene,276,0,15,0.05434782608695652,10.107150375
1-chloro-4-ethylbenzene,276,2,35,0.12681159420289856,2.7937917935
1-chloro-4-methoxybenzene,276,0,114,0.41304347826086957,0.3789841485
1-ethyl-4-iodobenzene,276,1,2,0.007246376811594203,61.4373102
1-iodo-4-(trifluoromethyl)benzene,276,1,3,0.010869565217391304,36.64285561
1-iodo-4-methoxybenzene,276,0,6,0.021739130434782608,35.598182335000004
2-bromopyridine,276,0,5,0.018115942028985508,51.748705465
2-chloropyridine,276,2,8,0.028985507246376812,36.611407485
2-iodopyridine,276,0,3,0.010869565217391304,62.286643585
3-bromopyridine,276,0,14,0.050724637681159424,41.82055538
3-chloropyridine,276,0,35,0.12681159420289856,8.411428986
3-iodopyridine,276,1,9,0.03260869565217391,55.26466335
