additive,records,missing_yield,zero_yield,zero_yield_rate,median_yield
"3,5-dimethylisoxazole",180,0,3,0.016666666666666666,40.69520867
3-methyl-5-phenylisoxazole,180,0,11,0.06111111111111111,39.124551395
3-methylisoxazole,180,2,6,0.03333333333333333,46.67925232
3-phenylisoxazole,180,2,0,0.0,46.496424579999996
4-phenylisoxazole,180,1,5,0.027777777777777776,26.3918508
"5-(2,6-difluorophenyl)isoxazole",180,0,4,0.022222222222222223,20.021381135
"5-Phenyl-1,2,4-oxadiazole",180,3,37,0.20555555555555555,7.023455372
5-methyl-3-(1H-pyrrol-1-yl)isoxazole,180,0,1,0.005555555555555556,41.039785359999996
5-methylisoxazole,180,0,4,0.022222222222222223,21.84825867
5-phenylisoxazole,180,0,4,0.022222222222222223,22.48341053
"N,N-dibenzylisoxazol-3-amine",180,0,0,0.0,44.939927305
"N,N-dibenzylisoxazol-5-amine",180,0,15,0.08333333333333333,22.07057117
benzo[c]isoxazole,180,0,29,0.16111111111111112,7.984687503
benzo[d]isoxazole,180,0,4,0.022222222222222223,28.44827489
ethyl-3-methoxyisoxazole-5-carboxylate,180,0,6,0.03333333333333333,38.720362030000004
ethyl-3-methylisoxazole-5-carboxylate,180,0,14,0.07777777777777778,44.50121224
ethyl-5-methylisoxazole-3-carboxylate,180,0,1,0.005555555555555556,44.73562794
ethyl-5-methylisoxazole-4-carboxylate,180,0,14,0.07777777777777778,15.279244604999999
ethyl-isoxazole-3-carboxylate,180,0,37,0.20555555555555555,20.08280199
ethyl-isoxazole-4-carboxylate,180,0,42,0.23333333333333334,2.853893507
methyl-5-(furan-2-yl)isoxazole-3-carboxylate,180,0,16,0.08888888888888889,36.087473165
methyl-5-(thiophen-2-yl)isoxazole-3-carboxylate,180,0,10,0.05555555555555555,35.17713515
methyl-isoxazole-5-carboxylate,180,0,10,0.05555555555555555,12.5075204
